root_label,root_path,relative_path,file_type,size_bytes,mtime_ns,sha256
snakemake_DARLIN,/home/zhutao/projects/darlin_cell_repro/code/snakemake_DARLIN,.git,directory,4096,1773199345731559332,
snakemake_DARLIN,/home/zhutao/projects/darlin_cell_repro/code/snakemake_DARLIN,.git/HEAD,file,23,1773199258543400562,f6f2b945f6c411b02ba3da9c7ace88dcf71b6af65ba2e0d89aa82900042b5a10
snakemake_DARLIN,/home/zhutao/projects/darlin_cell_repro/code/snakemake_DARLIN,.git/config,file,321,1773199345731559332,6d8c50aa8c0779b7dc63949a0ca78274e0c504634f5eeed8047b5ad2c8a96e45
snakemake_DARLIN,/home/zhutao/projects/darlin_cell_repro/code/snakemake_DARLIN,.git/description,file,73,1773199252323390066,85ab6c163d43a17ea9cf7788308bca1466f1b0a8d1cc92e26e9bf63da4062aee
snakemake_DARLIN,/home/zhutao/projects/darlin_cell_repro/code/snakemake_DARLIN,.git/hooks,directory,4096,1773199252323390066,
snakemake_DARLIN,/home/zhutao/projects/darlin_cell_repro/code/snakemake_DARLIN,.git/hooks/applypatch-msg.sample,file,478,1773199252323390066,0223497a0b8b033aa58a3a521b8629869386cf7ab0e2f101963d328aa62193f7
snakemake_DARLIN,/home/zhutao/projects/darlin_cell_repro/code/snakemake_DARLIN,.git/hooks/commit-msg.sample,file,896,1773199252323390066,1f74d5e9292979b573ebd59741d46cb93ff391acdd083d340b94370753d92437
snakemake_DARLIN,/home/zhutao/projects/darlin_cell_repro/code/snakemake_DARLIN,.git/hooks/fsmonitor-watchman.sample,file,4726,1773199252323390066,e0549964e93897b519bd8e333c037e51fff0f88ba13e086a331592bf801fa1d0
snakemake_DARLIN,/home/zhutao/projects/darlin_cell_repro/code/snakemake_DARLIN,.git/hooks/post-update.sample,file,189,1773199252323390066,81765af2daef323061dcbc5e61fc16481cb74b3bac9ad8a174b186523586f6c5
snakemake_DARLIN,/home/zhutao/projects/darlin_cell_repro/code/snakemake_DARLIN,.git/hooks/pre-applypatch.sample,file,424,1773199252323390066,e15c5b469ea3e0a695bea6f2c82bcf8e62821074939ddd85b77e0007ff165475
snakemake_DARLIN,/home/zhutao/projects/darlin_cell_repro/code/snakemake_DARLIN,.git/hooks/pre-commit.sample,file,1649,1773199252323390066,57185b7b9f05239d7ab52db045f5b89eb31348d7b2177eab214f5eb872e1971b
snakemake_DARLIN,/home/zhutao/projects/darlin_cell_repro/code/snakemake_DARLIN,.git/hooks/pre-merge-commit.sample,file,416,1773199252323390066,d3825a70337940ebbd0a5c072984e13245920cdf8898bd225c8d27a6dfc9cb53
snakemake_DARLIN,/home/zhutao/projects/darlin_cell_repro/code/snakemake_DARLIN,.git/hooks/pre-push.sample,file,1374,1773199252323390066,ecce9c7e04d3f5dd9d8ada81753dd1d549a9634b26770042b58dda00217d086a
snakemake_DARLIN,/home/zhutao/projects/darlin_cell_repro/code/snakemake_DARLIN,.git/hooks/pre-rebase.sample,file,4939,1773199252323390066,4ce6ee815f81e5f724a809b93c5a86b3f20c4ca2f38e90b565264d5c9bfcabc1
